
Idaho (MST) SNOTEL Site Reynolds Creek - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue May 02 14:30:34 GMT-08:00 2017. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,
2029,2008-10-01,,     0.0,-99.9,
2029,2008-10-02,,     0.0,-99.9,
2029,2008-10-03,,     0.0,-99.9,
2029,2008-10-04,,     0.0,-99.9,
2029,2008-10-05,,     0.3,-99.9,
2029,2008-10-06,,     0.3,-99.9,
2029,2008-10-07,,     0.3,-99.9,
2029,2008-10-08,,     0.3,-99.9,
2029,2008-10-09,,     0.3,-99.9,
2029,2008-10-10,,     0.3,-99.9,
2029,2008-10-11,,     0.7,-99.9,
2029,2008-10-12,,     0.8,-99.9,
2029,2008-10-13,,     0.8,-99.9,
2029,2008-10-14,,     0.8,-99.9,
2029,2008-10-15,,     0.8,-99.9,
2029,2008-10-16,,     0.8,-99.9,
2029,2008-10-17,,     0.8,-99.9,
2029,2008-10-18,,     0.8,-99.9,
2029,2008-10-19,,     0.8,-99.9,
2029,2008-10-20,,     0.8,-99.9,
2029,2008-10-21,,     0.8,-99.9,
2029,2008-10-22,,     0.8,-99.9,
2029,2008-10-23,,     0.8,-99.9,
2029,2008-10-24,,     0.8,-99.9,
2029,2008-10-25,,     0.8,-99.9,
2029,2008-10-26,,     0.8,-99.9,
2029,2008-10-27,,     0.8,-99.9,
2029,2008-10-28,,     0.8,-99.9,
2029,2008-10-29,,     0.8,-99.9,
2029,2008-10-30,,     0.8,-99.9,
2029,2008-10-31,,     0.8,-99.9,
2029,2008-11-01,,     0.9,-99.9,
2029,2008-11-02,,     1.0,-99.9,
2029,2008-11-03,,     1.2,-99.9,
2029,2008-11-04,,     1.4,-99.9,
2029,2008-11-05,,     1.5,-99.9,
2029,2008-11-06,,     1.5,-99.9,
2029,2008-11-07,,     1.5,-99.9,
2029,2008-11-08,,     1.5,-99.9,
2029,2008-11-09,,     1.6,-99.9,
2029,2008-11-10,,     1.7,-99.9,
2029,2008-11-11,,     1.7,-99.9,
2029,2008-11-12,,     2.0,-99.9,
2029,2008-11-13,,     2.2,-99.9,
2029,2008-11-14,,     2.5,-99.9,
2029,2008-11-15,,     2.5,-99.9,
2029,2008-11-16,,     2.6,-99.9,
2029,2008-11-17,,     2.6,-99.9,
2029,2008-11-18,,     2.6,-99.9,
2029,2008-11-19,,     2.6,-99.9,
2029,2008-11-20,,     2.6,-99.9,
2029,2008-11-21,,     2.6,-99.9,
2029,2008-11-22,,     2.6,-99.9,
2029,2008-11-23,,     2.7,-99.9,
2029,2008-11-24,,     2.7,-99.9,
2029,2008-11-25,,     2.7,-99.9,
2029,2008-11-26,,     2.7,-99.9,
2029,2008-11-27,,     2.7,-99.9,
2029,2008-11-28,,     2.7,-99.9,
2029,2008-11-29,,     2.7,-99.9,
2029,2008-11-30,,     2.7,-99.9,
2029,2008-12-01,,     2.7,-99.9,
2029,2008-12-02,,     2.7,-99.9,
2029,2008-12-03,,     2.8,-99.9,
2029,2008-12-04,,     2.8,-99.9,
2029,2008-12-05,,     2.8,-99.9,
2029,2008-12-06,,     2.9,-99.9,
2029,2008-12-07,,     2.9,-99.9,
2029,2008-12-08,,     3.0,-99.9,
2029,2008-12-09,,     3.1,-99.9,
2029,2008-12-10,,     3.1,-99.9,
2029,2008-12-11,,     3.1,-99.9,
2029,2008-12-12,,     3.1,-99.9,
2029,2008-12-13,,     3.3,-99.9,
2029,2008-12-14,,     3.4,-99.9,
2029,2008-12-15,,     3.6,-99.9,
2029,2008-12-16,,     3.8,-99.9,
2029,2008-12-17,,     3.9,-99.9,
2029,2008-12-18,,     3.9,-99.9,
2029,2008-12-19,,     4.1,-99.9,
2029,2008-12-20,,     4.2,-99.9,
2029,2008-12-21,,     4.5,-99.9,
2029,2008-12-22,,     4.9,-99.9,
2029,2008-12-23,,     5.0,-99.9,
2029,2008-12-24,,     5.2,-99.9,
2029,2008-12-25,,     5.5,-99.9,
2029,2008-12-26,,     6.2,-99.9,
2029,2008-12-27,,     6.3,-99.9,
2029,2008-12-28,,     6.6,-99.9,
2029,2008-12-29,,     6.7,-99.9,
2029,2008-12-30,,     6.7,-99.9,
2029,2008-12-31,,     6.7,-99.9,
2029,2009-01-01,,     6.7,-99.9,
2029,2009-01-02,,     6.7,-99.9,
2029,2009-01-03,,     7.0,-99.9,
2029,2009-01-04,,     7.0,-99.9,
2029,2009-01-05,,     7.0,-99.9,
2029,2009-01-06,,     7.4,-99.9,
2029,2009-01-07,,     8.0,-99.9,
2029,2009-01-08,,     8.0,-99.9,
2029,2009-01-09,,     8.0,-99.9,
2029,2009-01-10,,     8.0,-99.9,
2029,2009-01-11,,     8.0,-99.9,
2029,2009-01-12,,     8.0,-99.9,
2029,2009-01-13,,     8.0,-99.9,
2029,2009-01-14,,     8.0,-99.9,
2029,2009-01-15,,     8.0,-99.9,
2029,2009-01-16,,     8.0,-99.9,
2029,2009-01-17,,     8.0,-99.9,
2029,2009-01-18,,     8.0,-99.9,
2029,2009-01-19,,     8.0,-99.9,
2029,2009-01-20,,     8.0,-99.9,
2029,2009-01-21,,     8.0,-99.9,
2029,2009-01-22,,     8.0,-99.9,
2029,2009-01-23,,     8.2,-99.9,
2029,2009-01-24,,     8.2,-99.9,
2029,2009-01-25,,     8.4,-99.9,
2029,2009-01-26,,     8.8,-99.9,
2029,2009-01-27,,     8.8,-99.9,
2029,2009-01-28,,     8.8,-99.9,
2029,2009-01-29,,     8.8,-99.9,
2029,2009-01-30,,     8.8,-99.9,
2029,2009-01-31,,     8.8,-99.9,
2029,2009-02-01,,     8.8,-99.9,
2029,2009-02-02,,     8.8,-99.9,
2029,2009-02-03,,     8.8,-99.9,
2029,2009-02-04,,     8.8,-99.9,
2029,2009-02-05,,     8.8,-99.9,
2029,2009-02-06,,     8.8,-99.9,
2029,2009-02-07,,     8.8,-99.9,
2029,2009-02-08,,     8.8,-99.9,
2029,2009-02-09,,     8.8,-99.9,
2029,2009-02-10,,     8.8,-99.9,
2029,2009-02-11,,     8.8,-99.9,
