
Idaho (MST) SNOTEL Site Reynolds Creek - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue May 02 13:39:49 GMT-08:00 2017. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,PREC.I-1 (in) ,PREC.I-2 (in) ,PREC.I-3 (in) ,
2029,2009-10-01,,     0.0,-99.9,-99.9,
2029,2009-10-02,,     0.0,-99.9,-99.9,
2029,2009-10-03,,     0.0,-99.9,-99.9,
2029,2009-10-04,,     0.1,-99.9,-99.9,
2029,2009-10-05,,     0.7,-99.9,-99.9,
2029,2009-10-06,,     1.0,-99.9,-99.9,
2029,2009-10-07,,     1.0,-99.9,-99.9,
2029,2009-10-08,,     1.0,-99.9,-99.9,
2029,2009-10-09,,     1.0,-99.9,-99.9,
2029,2009-10-10,,     1.0,-99.9,-99.9,
2029,2009-10-11,,     1.0,-99.9,-99.9,
2029,2009-10-12,,     1.0,-99.9,-99.9,
2029,2009-10-13,,     1.0,-99.9,-99.9,
2029,2009-10-14,,     1.0,-99.9,-99.9,
2029,2009-10-15,,     1.2,-99.9,-99.9,
2029,2009-10-16,,     1.2,-99.9,-99.9,
2029,2009-10-17,,     1.2,-99.9,-99.9,
2029,2009-10-18,,     1.2,-99.9,-99.9,
2029,2009-10-19,,     1.2,-99.9,-99.9,
2029,2009-10-20,,     1.3,-99.9,-99.9,
2029,2009-10-21,,     1.3,-99.9,-99.9,
2029,2009-10-22,,     1.3,-99.9,-99.9,
2029,2009-10-23,,     1.3,-99.9,-99.9,
2029,2009-10-24,,     1.5,-99.9,-99.9,
2029,2009-10-25,,     1.5,-99.9,-99.9,
2029,2009-10-26,,     1.5,-99.9,-99.9,
2029,2009-10-27,,     1.8,-99.9,-99.9,
2029,2009-10-28,,     1.8,-99.9,-99.9,
2029,2009-10-29,,     1.8,-99.9,-99.9,
2029,2009-10-30,,     1.8,-99.9,-99.9,
2029,2009-10-31,,     1.8,-99.9,-99.9,
2029,2009-11-01,,     1.8,-99.9,-99.9,
2029,2009-11-02,,     1.8,-99.9,-99.9,
2029,2009-11-03,,     1.9,-99.9,-99.9,
2029,2009-11-04,,     1.9,-99.9,-99.9,
2029,2009-11-05,,     1.9,-99.9,-99.9,
2029,2009-11-06,,     1.9,-99.9,-99.9,
2029,2009-11-07,,     2.1,-99.9,-99.9,
2029,2009-11-08,,     2.1,-99.9,-99.9,
2029,2009-11-09,,     2.1,-99.9,-99.9,
2029,2009-11-10,,     2.1,-99.9,-99.9,
2029,2009-11-11,,     2.1,-99.9,-99.9,
2029,2009-11-12,,     2.5,-99.9,-99.9,
2029,2009-11-13,,     2.8,-99.9,-99.9,
2029,2009-11-14,,     2.9,-99.9,-99.9,
2029,2009-11-15,,     2.9,-99.9,-99.9,
2029,2009-11-16,,     2.9,-99.9,-99.9,
2029,2009-11-17,,     2.9,-99.9,-99.9,
2029,2009-11-18,,     2.9,-99.9,-99.9,
2029,2009-11-19,,     2.9,-99.9,-99.9,
2029,2009-11-20,,     3.0,-99.9,-99.9,
2029,2009-11-21,,     3.0,-99.9,-99.9,
2029,2009-11-22,,     3.0,-99.9,-99.9,
2029,2009-11-23,,     3.1,-99.9,-99.9,
2029,2009-11-24,,     3.1,-99.9,-99.9,
2029,2009-11-25,,     3.1,-99.9,-99.9,
2029,2009-11-26,,     3.1,-99.9,-99.9,
2029,2009-11-27,,     3.2,-99.9,-99.9,
2029,2009-11-28,,     3.5,-99.9,-99.9,
2029,2009-11-29,,     3.5,-99.9,-99.9,
2029,2009-11-30,,     3.5,-99.9,-99.9,
