
Idaho (MST) SNOTEL Site Reynolds Creek - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Tue May 02 13:40:17 GMT-08:00 2017. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,TOBS.I-1 (degC) ,TOBS.I-2 (degC) ,TMAX.D-1 (degC) ,TMAX.D-2 (degC) ,TMIN.D-1 (degC) ,TMIN.D-2 (degC) ,TAVG.D-1 (degC) ,TAVG.D-2 (degC) ,
2029,2009-10-01,,     0.0,     0.0,     5.1,     5.1,    -1.9,    -1.9,     1.5,     1.5,
2029,2009-10-02,,    -0.3,    -0.3,    10.1,    10.1,    -4.2,    -4.2,     2.7,     2.7,
2029,2009-10-03,,     4.3,     4.3,    10.6,    10.6,    -0.6,    -0.6,     5.0,     4.9,
2029,2009-10-04,,    -1.5,    -1.5,     6.7,     6.7,    -1.7,    -1.7,     1.4,     1.4,
2029,2009-10-05,,    -0.1,    -0.1,     0.0,     0.0,    -2.2,    -2.2,    -0.9,    -0.9,
2029,2009-10-06,,     0.1,     0.1,     3.8,     3.8,    -1.0,    -1.0,     0.4,     0.4,
2029,2009-10-07,,     2.9,     2.9,     7.6,     7.6,    -2.1,    -2.1,     3.0,     3.0,
2029,2009-10-08,,     2.4,     2.4,    10.4,    10.4,     1.1,     1.1,     5.4,     5.5,
2029,2009-10-09,,     3.6,     3.6,    10.3,    10.3,     1.0,     1.0,     5.8,     5.8,
2029,2009-10-10,,    -2.1,    -2.1,     8.3,     8.3,    -2.4,    -2.4,     3.7,     3.7,
2029,2009-10-11,,    -1.1,    -1.1,     3.2,     3.2,    -2.3,    -2.3,     0.0,     0.0,
2029,2009-10-12,,    -0.6,    -0.6,     5.8,     5.8,    -4.1,    -4.1,    -0.2,    -0.2,
2029,2009-10-13,,     5.0,     5.0,     8.8,     8.8,    -3.2,    -3.2,     4.3,     4.2,
